Well,Row,Column,Head1,Head2,Head3,Y,X
P,3,4,509.12,509.11,508.53,1250,350
G,5,8,508.19,507.99,506.84,1050,750
F,5,11,508.17,507.79,506.25,1050,1050
N,6,4,512.83,512.83,509.78,950,350
J,7,2,515.71,515.71,511.62,850,150
E,7,8,513.17,513.04,507.68,850,750
A,7,11,512.22,508.8,507.27,850,1050
B,7,14,511.95,511.29,507.63,850,1350
K,8,11,513.24,512.21,507.76,750,1050
Q,9,7,518.32,518.18,510,650,650
M,9,9,517.12,516.88,504.36,650,850
I,10,4,519.28,518.86,512.82,550,350
D,10,11,516.71,516.17,509.44,550,1050
C,10,14,516.03,515.66,510.12,550,1350
O,11,8,519.02,518.86,511.08,450,750
H,13,11,519.7,519.55,512.94,250,1050
S,14,2,521.96,521.95,515.85,150,150
